c CNF file written by RustSAT
p cnf 241 2668
1 0
-3 -2 0
-4 -2 0
-4 -3 0
-5 -2 0
-5 -3 0
-5 -4 0
-6 -2 0
-6 -3 0
-6 -4 0
-6 -5 0
-7 -2 0
-7 -3 0
-7 -4 0
-7 -5 0
-7 -6 0
2 3 4 5 6 7 0
-9 -8 0
-10 -8 0
-10 -9 0
-11 -8 0
-11 -9 0
-11 -10 0
-12 -8 0
-12 -9 0
-12 -10 0
-12 -11 0
-13 -8 0
-13 -9 0
-13 -10 0
-13 -11 0
-13 -12 0
-14 -8 0
-14 -9 0
-14 -10 0
-14 -11 0
-14 -12 0
-14 -13 0
-15 -8 0
-15 -9 0
-15 -10 0
-15 -11 0
-15 -12 0
-15 -13 0
-15 -14 0
8 9 10 11 12 13 14 15 0
-17 -16 0
-18 -16 0
-18 -17 0
-19 -16 0
-19 -17 0
-19 -18 0
-20 -16 0
-20 -17 0
-20 -18 0
-20 -19 0
-21 -16 0
-21 -17 0
-21 -18 0
-21 -19 0
-21 -20 0
-22 -16 0
-22 -17 0
-22 -18 0
-22 -19 0
-22 -20 0
-22 -21 0
-23 -16 0
-23 -17 0
-23 -18 0
-23 -19 0
-23 -20 0
-23 -21 0
-23 -22 0
16 17 18 19 20 21 22 23 0
-25 -24 0
-26 -24 0
-26 -25 0
-27 -24 0
-27 -25 0
-27 -26 0
-28 -24 0
-28 -25 0
-28 -26 0
-28 -27 0
-29 -24 0
-29 -25 0
-29 -26 0
-29 -27 0
-29 -28 0
24 25 26 27 28 29 0
-31 -30 0
-32 -30 0
-32 -31 0
-33 -30 0
-33 -31 0
-33 -32 0
-34 -30 0
-34 -31 0
-34 -32 0
-34 -33 0
-35 -30 0
-35 -31 0
-35 -32 0
-35 -33 0
-35 -34 0
-36 -30 0
-36 -31 0
-36 -32 0
-36 -33 0
-36 -34 0
-36 -35 0
-37 -30 0
-37 -31 0
-37 -32 0
-37 -33 0
-37 -34 0
-37 -35 0
-37 -36 0
30 31 32 33 34 35 36 37 0
-39 -38 0
-40 -38 0
-40 -39 0
-41 -38 0
-41 -39 0
-41 -40 0
-42 -38 0
-42 -39 0
-42 -40 0
-42 -41 0
-43 -38 0
-43 -39 0
-43 -40 0
-43 -41 0
-43 -42 0
-44 -38 0
-44 -39 0
-44 -40 0
-44 -41 0
-44 -42 0
-44 -43 0
-45 -38 0
-45 -39 0
-45 -40 0
-45 -41 0
-45 -42 0
-45 -43 0
-45 -44 0
38 39 40 41 42 43 44 45 0
-47 -46 0
-48 -46 0
-48 -47 0
-49 -46 0
-49 -47 0
-49 -48 0
